               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060563,            0.018973,                   0,             0.71804,              0.7409,             0.75391,             0.51947,            0.045124,           0.0044258,                   0,           0.0033244,           0.0033244,             0.07008
                   1,            0.038193,             0.01594,                   0,             0.94855,             0.90539,             0.95668,             0.66914,             0.03064,            0.003819,                   0,           0.0065919,           0.0065919,            0.040014
                   2,            0.035288,            0.014971,                   0,             0.94663,             0.89859,             0.94999,             0.68416,            0.030302,           0.0040615,                   0,           0.0097933,           0.0097933,           0.0098822
                   3,            0.032456,            0.014943,                   0,             0.91285,             0.85153,             0.91671,             0.60003,            0.029077,           0.0048644,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.030146,              0.0146,                   0,             0.92479,             0.88695,             0.92823,             0.67443,             0.02864,           0.0037658,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.028078,            0.014239,                   0,             0.94726,             0.91703,             0.96246,             0.73673,            0.023826,           0.0033656,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.027224,            0.014084,                   0,             0.93463,             0.91849,             0.96694,             0.74557,            0.023276,           0.0032117,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.02658,            0.013843,                   0,             0.95918,             0.90878,             0.96476,             0.77361,            0.022885,           0.0031977,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025998,            0.013779,                   0,             0.94308,             0.92448,             0.96347,             0.77293,            0.022091,           0.0033826,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.025444,            0.013432,                   0,               0.899,             0.81805,             0.89316,             0.66005,            0.027299,           0.0040737,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.025032,            0.013594,                   0,              0.9658,             0.91807,             0.96903,             0.78537,            0.021589,           0.0031166,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.024916,            0.013328,                   0,              0.9543,             0.93159,             0.97035,             0.78524,            0.021292,           0.0031423,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024552,            0.013419,                   0,             0.94706,             0.92867,             0.96792,             0.75265,            0.022842,           0.0033768,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.024113,            0.013261,                   0,             0.95634,             0.92462,             0.97014,             0.77524,            0.021786,           0.0028085,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.024184,            0.013185,                   0,             0.95955,             0.92237,             0.97223,             0.80667,            0.020246,           0.0026907,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.023644,            0.013122,                   0,              0.9572,             0.92819,             0.97256,             0.78915,            0.020371,           0.0032369,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.023411,            0.012968,                   0,              0.9617,             0.93805,             0.97256,             0.80189,              0.0206,           0.0027852,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.023522,            0.012952,                   0,             0.96178,             0.93304,             0.97621,             0.79034,            0.020118,           0.0034114,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.02297,            0.012948,                   0,             0.94437,             0.93353,             0.97288,             0.81081,            0.020319,            0.003191,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.02255,            0.012669,                   0,             0.96106,             0.92043,             0.97136,             0.79406,            0.019931,           0.0028764,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.022315,            0.012679,                   0,             0.95071,             0.93589,             0.97338,              0.8061,            0.019233,           0.0033143,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.022546,            0.012776,                   0,             0.95994,             0.92431,             0.97105,             0.79808,              0.0207,           0.0035252,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.022426,            0.012788,                   0,             0.96217,             0.93207,             0.97403,             0.80755,            0.019977,           0.0038333,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.022154,            0.012673,                   0,             0.95223,             0.93256,             0.96899,             0.80188,            0.019724,           0.0032121,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.022187,            0.012651,                   0,             0.95025,             0.93547,              0.9758,             0.81049,            0.019098,           0.0035203,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.021704,            0.012561,                   0,               0.963,             0.93454,             0.97986,             0.81889,            0.018748,           0.0027985,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.02198,             0.01253,                   0,             0.96693,             0.93623,             0.98042,             0.80493,            0.019002,           0.0031544,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.021585,             0.01249,                   0,             0.95374,             0.94372,             0.97578,             0.81583,            0.019031,           0.0030671,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.021456,            0.012374,                   0,             0.95563,             0.94057,             0.97763,             0.80661,            0.018503,           0.0027463,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.021188,            0.012288,                   0,             0.97148,             0.94191,             0.97856,             0.83636,            0.018383,           0.0033726,                   0,            0.007228,            0.007228,            0.007228
                  30,              0.0212,            0.012301,                   0,             0.96215,             0.93742,             0.97603,             0.80966,            0.019328,           0.0033526,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.021095,             0.01242,                   0,             0.96545,             0.94372,               0.977,             0.81574,            0.018092,           0.0031347,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.020979,            0.012278,                   0,             0.96531,             0.93163,             0.97918,             0.82499,            0.018187,           0.0029285,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.021023,            0.012275,                   0,             0.96605,              0.9388,             0.97867,              0.8274,            0.017703,           0.0027733,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.020951,            0.012098,                   0,             0.96372,             0.93886,             0.98116,             0.81797,            0.018134,           0.0026781,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.020884,            0.012012,                   0,             0.96884,             0.93527,             0.97921,             0.81642,            0.018468,           0.0029694,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.020627,            0.012031,                   0,             0.95484,             0.94323,             0.97976,             0.82483,            0.018244,           0.0028278,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.020579,            0.012113,                   0,             0.96223,             0.94566,             0.98026,             0.82689,            0.018234,           0.0029948,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.020418,            0.012123,                   0,             0.97474,             0.93613,             0.97964,             0.81569,            0.018104,           0.0030689,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.020471,            0.011971,                   0,              0.9695,             0.93498,             0.97948,             0.82302,            0.017932,           0.0029942,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.020643,            0.012104,                   0,             0.96299,              0.9342,             0.97836,             0.81636,            0.018155,            0.003281,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.020518,            0.012061,                   0,             0.97061,             0.94032,             0.97852,             0.82667,            0.018954,           0.0033096,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.020456,            0.011933,                   0,              0.9581,             0.93984,             0.97868,             0.82679,            0.018046,           0.0029376,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.020367,            0.012154,                   0,             0.96479,             0.94397,             0.97825,             0.81648,            0.017989,           0.0030734,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.019841,            0.011909,                   0,             0.96539,             0.94032,             0.97713,             0.81066,            0.018524,            0.003263,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.019797,            0.011912,                   0,             0.96247,             0.94711,             0.97956,             0.82434,            0.017688,            0.002985,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.019867,            0.011965,                   0,             0.97165,             0.93789,             0.97745,             0.83059,            0.017974,           0.0029372,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.019736,            0.011743,                   0,              0.9706,              0.9451,             0.98173,              0.8351,            0.017482,           0.0029955,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.01978,            0.011652,                   0,             0.96197,             0.94857,             0.97661,             0.83633,            0.017765,           0.0033362,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.019439,            0.011735,                   0,             0.95779,             0.95773,             0.98182,             0.83624,            0.017587,           0.0033841,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.019401,            0.011727,                   0,              0.9617,              0.9476,             0.97891,             0.84394,            0.017393,           0.0033421,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.019249,            0.011571,                   0,             0.97162,             0.94857,             0.97975,             0.84836,            0.017147,           0.0028657,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.019377,            0.011703,                   0,             0.96527,             0.94403,             0.97919,             0.84641,            0.017858,           0.0031844,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019494,            0.011723,                   0,             0.96778,             0.94663,             0.98206,             0.85118,            0.017278,           0.0027549,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.01924,            0.011804,                   0,             0.96634,             0.94323,             0.97735,             0.84385,            0.017939,           0.0029419,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019056,            0.011596,                   0,             0.96465,             0.94808,              0.9784,             0.85109,             0.01733,           0.0029878,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019008,            0.011672,                   0,             0.96391,             0.94597,             0.97715,             0.83627,            0.017337,            0.002932,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.018887,            0.011515,                   0,             0.97705,             0.94323,             0.98273,             0.84514,            0.017353,           0.0032313,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.01912,            0.011539,                   0,             0.96187,             0.95482,              0.9793,             0.84547,            0.017627,           0.0029713,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.018848,            0.011375,                   0,             0.96339,             0.94476,             0.97683,             0.83768,            0.018175,           0.0030241,                   0,            0.004258,            0.004258,            0.004258
